379,466
212,166
109,78
226,623
833,193
480,500
380,476
118,133
389,444
81,63
199,138
590,691
462,570
327,500
855,175
184,139
189,137
324,493
354,513
100,121
762,183
414,480
416,412
98,135
198,157
388,563
125,139
809,165
490,418
778,222
206,137
394,425
830,233
371,465
204,150
120,97
206,162
484,563
209,364
220,319
288,528
204,135
411,632
54,905
383,552
830,220
257,944
82,135
363,519
985,408
184,152
183,138
208,166
206,161
433,435
460,526
364,520
132,20
392,573
435,447
819,196
106,98
212,146
216,132
418,534
97,61
450,570
185,163
812,190
87,72
459,490
751,211
116,94
115,131
802,217
216,136
425,571
387,502
392,450
833,165
335,500
254,920
325,458
118,135
565,830
420,446
808,762
764,229
817,233
328,456
442,478
790,141
975,709
270,935
821,469
140,285
467,460
388,520
427,588
430,589
